NextInspectionDate,AircraftId,ModelName,FuelCapacity,SquadronId,StockId,FuelTypeId
2025-07-29,1,WingStar 800,6863,256,240,1
2025-07-04,2,JetRider 11300,5997,202,104,5
2025-08-02,3,Skyhawk 2000,7589,259,106,7
2025-06-29,4,CloudRider 6200,5424,3,369,10
2025-09-07,5,FalconMaster 12500,5480,354,175,16
2025-10-23,6,AeroJet 5900,7978,224,255,16
2025-10-03,7,SkyHawk 3300,6795,331,330,11
2025-06-28,8,AirForce One 2800,3451,350,76,17
2025-08-19,9,JetLiner 3000,5304,343,343,4
2025-10-19,10,CloudJet 14900,6069,273,333,14
2025-06-05,11,SkyBlaster 19400,7499,166,28,9
2025-06-18,12,SkyBlade 15200,7495,23,70,11
2025-10-15,13,SkyBlade 15200,5992,371,272,13
2025-07-18,14,AeroSwift 18800,7921,56,211,12
2025-10-29,15,FleetJet 16100,7485,247,64,5
2025-06-13,16,FleetMaster 2500,3967,20,81,2
2025-07-21,17,StarCruiser 3900,7941,373,103,4
2025-09-26,18,JetMaster 7700,7879,119,53,14
2025-06-19,19,SkyRider 1800,6956,111,161,2
2025-08-08,20,AeroForce 10400,7842,53,231,12
2025-07-03,21,FlightPro 600,5869,364,62,3
2025-07-12,22,SkyMaster 700,5809,331,252,13
2025-09-11,23,FleetJet 16100,6106,367,116,17
2025-07-17,24,AirBlade 11600,4363,387,392,13
2025-06-21,25,AeroBlade 300,6488,44,178,19
2025-08-06,26,ThunderWing 6800,5376,169,355,16
2025-09-24,27,SkyBlazer 4500,3156,204,128,9
2025-07-31,28,SkyBlaster 19400,3252,317,327,8
2025-08-29,29,SkyWave 12200,6328,177,7,8
2025-10-06,30,StarJet 12800,3694,358,152,13
2025-08-31,31,FleetJet 24500,3988,176,387,8
2025-09-11,32,WingRider 18500,7639,41,135,16
2025-08-17,33,FleetSwift 11900,6209,294,155,16
2025-09-04,34,JetWave 4800,4963,170,347,8
2025-10-14,35,FleetJet 24500,3971,387,364,5
2025-08-29,36,JetLiner 3000,7416,62,130,11
2025-10-16,37,StarCruiser 3900,3225,348,280,1
2025-10-13,38,SkyBlade 15200,4449,361,322,3
2025-08-19,39,SkyRider 1800,7533,356,189,10
2025-08-08,40,AirRider 15800,6738,267,74,15
2025-10-26,41,AeroJet 17300,5545,228,334,15
2025-06-21,42,Falcon 9000,3178,139,351,12
2025-08-15,43,FleetBlaster 7100,8000,122,293,14
2025-06-20,44,WingJet 10100,4732,375,10,11
2025-09-29,45,Falcon 9000,3443,361,248,9
